FromName,ToName,ParentName,Include,Description,DataType,DataLength,,
Duration,Duration,,TRUE,,,,,
Duration.DurationId,DurationId,,TRUE,,GUID,,,
Duration.Name,Name,,TRUE,,TEXT,50,,
Duration.Description,Description,,TRUE,,TEXT,500,,
Unit,Unit,,TRUE,,,,,
Unit.UnitId,UnitId,,TRUE,,GUID,,,
Unit.Name,Name,,TRUE,,TEXT,50,,
Unit.Description,Description,,TRUE,,TEXT,500,,
Time,Time,,FALSE,,,,,
Time.TimeId,TimeId,,FALSE,,GUID,,,
Time.Name,Name,,FALSE,,TEXT,50,,
Time.Description,Description,,FALSE,,TEXT,500,,
Measurement,Measurement,,FALSE,,,,,
Measurement.MeasurementId,MeasurementId,,FALSE,,GUID,,,
Measurement.Name,Name,,FALSE,,TEXT,50,,
Measurement.Description,Description,,FALSE,,TEXT,500,,
Transmission,Transmission,,TRUE,,,,,
Transmission.TransmissionId,TransmissionId,,TRUE,,GUID,,,
Transmission.Name,Name,,TRUE,,TEXT,50,,
Transmission.Description,Description,,TRUE,,TEXT,500,,
Silence,Silence,,FALSE,,,,,
Silence.SilenceId,SilenceId,,FALSE,,GUID,,,
Silence.Name,Name,,FALSE,,TEXT,50,,
Silence.Description,Description,,FALSE,,TEXT,500,,
Word,Word,,TRUE,,,,,
Word.WordId,WordId,,TRUE,,GUID,,,
Word.Name,Name,,TRUE,,TEXT,50,,
Word.Description,Description,,TRUE,,TEXT,500,,
Delimiter,Delimiter,,TRUE,,,,,
Delimiter.DelimiterId,DelimiterId,,TRUE,,GUID,,,
Delimiter.Name,Name,,TRUE,,TEXT,50,,
Delimiter.Description,Description,,TRUE,,TEXT,500,,
Space,Space,,TRUE,,,,,
Space.SpaceId,SpaceId,,TRUE,,GUID,,,
Space.Name,Name,,TRUE,,TEXT,50,,
Space.Description,Description,,TRUE,,TEXT,500,,
Speed,Speed,,TRUE,,,,,
Speed.SpeedId,SpeedId,,TRUE,,GUID,,,
Speed.Name,Name,,TRUE,,TEXT,50,,
Speed.Description,Description,,TRUE,,TEXT,500,,
Communication,Communication,,FALSE,,,,,
Communication.CommunicationId,CommunicationId,,FALSE,,GUID,,,
Communication.Name,Name,,FALSE,,TEXT,50,,
Communication.Description,Description,,FALSE,,TEXT,500,,
Length,Length,,FALSE,,,,,
Length.LengthId,LengthId,,FALSE,,GUID,,,
Length.Name,Name,,FALSE,,TEXT,50,,
Length.Description,Description,,FALSE,,TEXT,500,,
Frequency,Frequency,,FALSE,,,,,
Frequency.FrequencyId,FrequencyId,,FALSE,,GUID,,,
Frequency.Name,Name,,FALSE,,TEXT,50,,
Frequency.Description,Description,,FALSE,,TEXT,500,,
Occurrence,Occurrence,,TRUE,,,,,
Occurrence.OccurrenceId,OccurrenceId,,TRUE,,GUID,,,
Occurrence.Name,Name,,TRUE,,TEXT,50,,
Occurrence.Description,Description,,TRUE,,TEXT,500,,
Entropyencoding,Entropyencoding,,FALSE,,,,,
Entropyencoding.EntropyencodingId,EntropyencodingId,,FALSE,,GUID,,,
Entropyencoding.Name,Name,,FALSE,,TEXT,50,,
Entropyencoding.Description,Description,,FALSE,,TEXT,500,,
Amateurradiooperator,Amateurradiooperator,,FALSE,,,,,
Amateurradiooperator.AmateurradiooperatorId,AmateurradiooperatorId,,FALSE,,GUID,,,
Amateurradiooperator.Name,Name,,FALSE,,TEXT,50,,
Amateurradiooperator.Description,Description,,FALSE,,TEXT,500,,
Knowledge,Knowledge,,FALSE,,,,,
Knowledge.KnowledgeId,KnowledgeId,,FALSE,,GUID,,,
Knowledge.Name,Name,,FALSE,,TEXT,50,,
Knowledge.Description,Description,,FALSE,,TEXT,500,,
Proficiency,Proficiency,,FALSE,,,,,
Proficiency.ProficiencyId,ProficiencyId,,FALSE,,GUID,,,
Proficiency.Name,Name,,FALSE,,TEXT,50,,
Proficiency.Description,Description,,FALSE,,TEXT,500,,
Licensing,Licensing,,FALSE,,,,,
Licensing.LicensingId,LicensingId,,FALSE,,GUID,,,
Licensing.Name,Name,,FALSE,,TEXT,50,,
Licensing.Description,Description,,FALSE,,TEXT,500,,
Amateurradiolicense,Amateurradiolicense,,FALSE,,,,,
Amateurradiolicense.AmateurradiolicenseId,AmateurradiolicenseId,,FALSE,,GUID,,,
Amateurradiolicense.Name,Name,,FALSE,,TEXT,50,,
Amateurradiolicense.Description,Description,,FALSE,,TEXT,500,,
Aviator,Aviator,,FALSE,,,,,
Aviator.AviatorId,AviatorId,,FALSE,,GUID,,,
Aviator.Name,Name,,FALSE,,TEXT,50,,
Aviator.Description,Description,,FALSE,,TEXT,500,,
Air,Air,,FALSE,,,,,
Air.AirId,AirId,,FALSE,,GUID,,,
Air.Name,Name,,FALSE,,TEXT,50,,
Air.Description,Description,,FALSE,,TEXT,500,,
Traffic,Traffic,,FALSE,,,,,
Traffic.TrafficId,TrafficId,,FALSE,,GUID,,,
Traffic.Name,Name,,FALSE,,TEXT,50,,
Traffic.Description,Description,,FALSE,,TEXT,500,,
Airtrafficcontroller,Airtrafficcontroller,,FALSE,,,,,
Airtrafficcontroller.AirtrafficcontrollerId,AirtrafficcontrollerId,,FALSE,,GUID,,,
Airtrafficcontroller.Name,Name,,FALSE,,TEXT,50,,
Airtrafficcontroller.Description,Description,,FALSE,,TEXT,500,,
Understanding,Understanding,,FALSE,,,,,
Understanding.UnderstandingId,UnderstandingId,,FALSE,,GUID,,,
Understanding.Name,Name,,FALSE,,TEXT,50,,
Understanding.Description,Description,,FALSE,,TEXT,500,,
Navigationalaid,Navigationalaid,,FALSE,,,,,
Navigationalaid.NavigationalaidId,NavigationalaidId,,FALSE,,GUID,,,
Navigationalaid.Name,Name,,FALSE,,TEXT,50,,
Navigationalaid.Description,Description,,FALSE,,TEXT,500,,
Vhfomnidirectionalrange,Vhfomnidirectionalrange,,FALSE,,,,,
Vhfomnidirectionalrange.VhfomnidirectionalrangeId,VhfomnidirectionalrangeId,,FALSE,,GUID,,,
Vhfomnidirectionalrange.Name,Name,,FALSE,,TEXT,50,,
Vhfomnidirectionalrange.Description,Description,,FALSE,,TEXT,500,,
Nondirectionalbeacon,Nondirectionalbeacon,,FALSE,,,,,
Nondirectionalbeacon.NondirectionalbeaconId,NondirectionalbeaconId,,FALSE,,GUID,,,
Nondirectionalbeacon.Name,Name,,FALSE,,TEXT,50,,
Nondirectionalbeacon.Description,Description,,FALSE,,TEXT,500,,
Voice,Voice,,FALSE,,,,,
Voice.VoiceId,VoiceId,,FALSE,,GUID,,,
Voice.Name,Name,,FALSE,,TEXT,50,,
Voice.Description,Description,,FALSE,,TEXT,500,,
Decoding,Decoding,,TRUE,,,,,
Decoding.DecodingId,DecodingId,,TRUE,,GUID,,,
Decoding.Name,Name,,TRUE,,TEXT,50,,
Decoding.Description,Description,,TRUE,,TEXT,500,,
Device,Device,,TRUE,,,,,
Device.DeviceId,DeviceId,,TRUE,,GUID,,,
Device.Name,Name,,TRUE,,TEXT,50,,
Device.Description,Description,,TRUE,,TEXT,500,,
Alternative,Alternative,,TRUE,,,,,
